id,code,name
A0101011112,A0101011112,PLANTACIONES DE PALMA AFRICANA
A0101011113,A0101011113,PLANTACIONES DE ABACA
A0101011210,A0101011210,PRODUCCION DE FLORES NATURALES Y PLANTAS ORNAMENTALES Y MEDICINA
A0101011301,A0101011301,PLANTACIONES DE BANANO
A0101011310,A0101011310,PLANTACIONES DE CACAO
A0101011311,A0101011311,"ESCOGIDA DE CAFÉ, CACAO Y OTROS PRODUCTOS DESTINADOS A LA EXPORT"
A0101011312,A0101011312,PLANTACIONES DE CAFE
A0101020010,A0101020010,EXTRACCION DE LA MADERA
A0109630100,A0109630100,"ESCOGIDA DE CAFÉ, CACAO Y OTROS PRODUCTOS DESTINADOS A LA EXPORT"
A0120000000,A0120000000,MRL-OTROS CULTIVOS
A0204151101,A0204151101,PRODUCCIÓN AVÍCOLA
A0220000000,A0220000000,MRL-TODAS LAS RAMAS (CIIU:20000000)
A0302050000,A0302050000,FAENAS DE PESCA DE ALTURA Y COSTERA Y/O TRIPULANTES DE BUQUES PE
A0302050003,A0302050003,PRODUCCION Y LABORATORIOS DE CRIA DE LARVAS 
A0304151200,A0304151200,PRODUCCION E INDUSTRIALIZACION DE PESCADO Y OTROS PRODUCTOS MARI
A0403000000,A0403000000,"EXTRACCION DE MINERALES METÁLICOS Y NO METÁLICOS, Y MATERIALES D"
A0403111000,A0403111000,"PRODUCCION DE PETROLEO CRUDO Y GAS NATURAL, SU PROCESAMIENTO, EN"
A0403132000,A0403132000,"EXTRACCION DE MINERALES METÁLICOS Y NO METÁLICOS, Y MATERIALES D"
A0410000000,A0410000000,MRL-TODAS LAS RAMAS (CIIU:10000000)
A0420000000,A0420000000,MRL-TODAS LAS RAMAS (CIIU:20000000)
A0430000000,A0430000000,MRL-TODAS LAS RAMAS (CIIU:30000000)
A0504151100,A0504151100,"FAENAMIENTO DE GANADO, PREPARACIÓN Y CONSERVACIÓN DE CARNES"
A0504151101,A0504151101,FAENAMIENTO AVICOLA
A0504151301,A0504151301,INDUSTRIAS ENVASADORAS Y CONSERVERAS DE LEGUMBRES Y FRUTAS
A0504151401,A0504151401,EXTRACTORAS DE ACEITE ROJO CRUDO DE PALMA
A0504151400,A0504151400,INDUSTRIAS DE ACEITES Y GRASAS VEGETALES Y ANIMALES
A0504152001,A0504152001,ELABORACIÓN DE PRODUCTOS LÁCTEOS
A0504153100,A0504153100,PILADORAS DE ARROZ
A0504153111,A0504153111,INDUSTRIAS DE PRODUCTOS DE MOLINERÍA
A0504154109,A0504154109,ELABORACIÓN DE PRODUCTOS DE PANADERÍA Y PASTELERÍA
A0504154201,A0504154201,INGENIOS Y REFINERÍAS DE AZÚCAR
A0504154309,A0504154309,"PROCESAMIENTO DE CACAO, Y ELABORACIÓN DE CHOCOLATE Y ARTÍCULOS D"
A0504154401,A0504154401,"FABRICACIÓN DE FIDEOS, MACARRONES, GALLETAS Y OTROS PRODUCTOS SE"
A0504154900,A0504154900,INDUSTRIALIZACIÓN DEL TÉ Y OTRAS HIERBAS AROMÁTICAS NATURALES
A0504154901,A0504154901,INDUSTRIALIZACIÓN DEL CAFÉ
A0504154910,A0504154910,ELABORACIÓN DE OTROS PRODUCTOS ALIMENTICIOS: MAICENA Y SUS DERIV
A0504154921,A0504154921,PROCESAMIENTO DE SAL
A0504155403,A0504155403,ELABORACIÓN DEL HIELO
A0510000000,A0510000000,MRL-RESTO DE RAMAS (CIIU:10000000)
A0511749500,A0511749500,EMPACADORAS DE CAMARÓN
A0520000000,A0520000000,MRL-RESTO DE RAMAS (CIIU:20000000)
A0604314001,A0604314001,FABRICACION DE ACUMULADORES (BATERIAS Y PILAS)
A0704155101,A0704155101,"DESTILACIÓN, RECTIFICACIÓN Y MEZCLA DE BEBIDAS ESPIRITUOSAS O AL"
A0704155300,A0704155300,INDUSTRIAS DE BEBIDAS MALTEADAS Y MALTA (CERVEZA)
A0704155401,A0704155401,"INDUSTRIAS DE BEBIDAS NO ALCOHÓLICAS, AGUAS GASEOSAS Y MINERALES"
A0704160000,A0704160000,INDUSTRIA DEL TABACO
A0720000000,A0720000000,MRL-PARA TODAS LAS RAMAS DE INDUSTRIALIZACIÓN
A0720000001,A0720000001,MRL-CULTIVO Y ELABORACIÓN PRELIMINAR DEL TABACO
A0804289300,A0804289300,"FABRICACIÓN DE CUCHILLERÍA, HERRAMIENTAS MANUALES Y ARTÍCULOS DE"
A0804289900,A0804289900,"FABRICACIÓN DE OTROS PRODUCTOS METÁLICOS (ENVASES, RECIPIENTES, "
A0810000000,A0810000000,MRL-RESTO DE RAMAS (CIIU:10000000)
A0810000001,A0810000001,"MRL-NUEVOS CARGOS-FABRICACIÓN DE CUCHILLERÍA, HERRAMIENNTAS MANU"
A0820000000,A0820000000,MRL-RESTO DE RAMAS (CIIU:20000000)
