id,commision_id/id,rama_id/id,code,name
0101011112039,A01,A0101011112,0101011112039,SUPERVISOR DE LA PLANTACION
0101011112042,A01,A0101011112,0101011112042,SUPERVISOR DE MANTENIMIENTO
0101011112052,A01,A0101011112,0101011112052,"TRABAJADOR DEL AGRO: CORTE Y RECOLECCIÓN DE RACIMOS, CORONA QUÍM"
0101011113140,A01,A0101011113,0101011113140,EMPACADOR
0101011113141,A01,A0101011113,0101011113141,TUCSERO 
0101011113142,A01,A0101011113,0101011113142,MAQUINISTA 
0101011113143,A01,A0101011113,0101011113143,SUNQUERO  
0101011113144,A01,A0101011113,0101011113144,TALLERO 
0101011113145,A01,A0101011113,0101011113145,ACARREADOR DE FIBRA (BURRERO) 
0101011113146,A01,A0101011113,0101011113146,TENDALERO 
0101011113147,A01,A0101011113,0101011113147,"TRABAJADOR DEL AGRO: DESMONTAJE, PREPARACION DE SUELOS, CHAPIA, "
0101011210065,A01,A0101011210,0101011210065,SUPERVISOR DE RIEGO
0101011210067,A01,A0101011210,0101011210067,JEFE DE POSTCOSECHA
0101011210070,A01,A0101011210,0101011210070,OPERADOR DE RIEGO
0101011210073,A01,A0101011210,0101011210073,SUPERVISOR DE POSTCOSECHA
0101011210074,A01,A0101011210,0101011210074,SUPERVISOR DE CULTIVO
0101011210075,A01,A0101011210,0101011210075,SUPERVISOR DE MANTENIMIENTO
0101011210081,A01,A0101011210,0101011210081,"TRABAJADOR DEL AGRO: CLASIFICADOR, CORTADOR DE TALLOS, EMBONCHAD"
0101011301114,A01,A0101011301,0101011301114,TRABAJADORES AGRICOLAS QUE LABORAN EN LAS PLANTACIONES
0101011301115,A01,A0101011301,0101011301115,PEGADOR  DE CARTON  
0101011301116,A01,A0101011301,0101011301116,CORTE DE RACIMOS
0101011301117,A01,A0101011301,0101011301117,TRANSPORTE DE RACIMO MEDIANTE MOTOR EN COMBUSTION O POR TRABAJAD
0101011301118,A01,A0101011301,0101011301118,ENFUNDE Y DESFLORE
0101011301119,A01,A0101011301,0101011301119,LIMPIADOR SE ENCARGA DE ELIMINAR TODOS LOS HIJES QUE NO HAN SIDO
0101011301120,A01,A0101011301,0101011301120,SELECTOR SE DEDICA A ESCOGER EL HIJE
0101011301121,A01,A0101011301,0101011301121,"ENSUNCHE, REENSUNCHE Y APUNTALAMIENTO"
0101011301122,A01,A0101011301,0101011301122,DESHOJE
0101011301123,A01,A0101011301,0101011301123,TRABAJADORES QUE LABORAN EN ACTIVIDADES DE MAYORDOMO DE CAMPO; A
0101011301124,A01,A0101011301,0101011301124,LIMPIEZA EMPACADORA 
0101011301125,A01,A0101011301,0101011301125,SUBFOLIAR
0101011301126,A01,A0101011301,0101011301126,ROZA BANANERA
0101011301127,A01,A0101011301,0101011301127,CONTROL FITOSANITARIO Y CONTROL HERBICIDA
0101011301128,A01,A0101011301,0101011301128,FERTILIZACION
0101011301129,A01,A0101011301,0101011301129,ASPERSION PORTATIL
0101011301130,A01,A0101011301,0101011301130,FERTIRIEGO
0101011301131,A01,A0101011301,0101011301131,LIMPIEZA Y MANTENIMIENTO
0101011301132,A01,A0101011301,0101011301132,DRENAJE: EMBANQUE DE CANAL DE DRENAJE; EROSIÓN
0101011301133,A01,A0101011301,0101011301133,ASPERSION: INCLUYE PORTATIL
0101011301134,A01,A0101011301,0101011301134,CANALES
0101011301135,A01,A0101011301,0101011301135,CAJA DE 22/U - P-CKRAFF/E
0101011301136,A01,A0101011301,0101011301136,"CAJA DE 22/U, PALETIZADO BAG"
0101011301137,A01,A0101011301,0101011301137,CAJA DE 22/U DE 19 KILOS GRANDE
0101011301138,A01,A0101011301,0101011301138,CAJA 115K DE 17 KILOS MEDIANA CUALQUIER EMPAQUE
0101011301139,A01,A0101011301,0101011301139,"CAJA NUM 208 Y NUM 2527, DE 13 KILOS, CHICA, CUALQUIER EMPAQUE"
0101011310029,A01,A0101011310,0101011310029,"TRABAJADOR DEL AGRO: TUMBA DE CACAO, UNTADA DE CACAO, DESVENADA "
