name,code,id
AGRICULTURA Y PLANTACIONES,A01,A01
PRODUCCIÓN PECUARIA,A02,A02
"PESCA, ACUACULTURA Y MARICUL",A03,A03
"MINAS, CANTERAS Y YACIMIENTOS",A04,A04
TRNSFORMACIÓN DE ALIMENTOS,A05,A05
PRODUCTOS INDUSTRIALES FARM ,A06,A06
PRODUCCUÓN INDUSTRIAL DE BEB,A07,A07
METALMECÁNICA,A08,A08
"PRODUCTOS TEXTILES, CUERO Y C",A10,A10
"VEHÍCULOS, AUTOMOTORES, CARR",A11,A11
TECNOLOGÍA HARDWARE Y SOFTW,A12,A12
"ELECTRICIDAD, GAS Y AGUA",A13,A13
"ELECTRICIDAD, GAS Y AGUA",A13,A13
CONSTRUCCIÓN,A14,A14
COMERCIALIZACIÓN Y VENTA DE P,A15,A15
TURISMO Y ALIMENTACIÓN,A16,A16
TRANSPORTE Y LOGÍSTICA,A17,A17
SERVICIOS FINANCIEROS,A18,A18
ACTIVIDADES TIPO SERVICIOS,A19,A19
ENSEÑANZA,A20,A20
ACTIVIDADES TIPO SALUD,A21,A21
ACTIVIDADES  COMUNITARIAS,A22,A22
